ft,score, delta
3,0:3,18
3,1:3,15
3,2:3,15
4,0:4,19
4,1:4,18
4,2:4,15
4,3:4,15
5,0:5,19
5,1:5,18
5,2:5,17
5,3:5,15
5,4:5,15
6,0:6,19
6,1:6,18
6,2:6,18
6,3:6,17
6,4:6,15
6,5:6,15
7,0:7,19
7,1:7,19
7,2:7,18
7,3:7,18
7,4:7,17
7,5:7,15
7,6:7,15
8,0:8,20
8,1:8,19
8,2:8,19
8,3:8,18
8,4:8,18
8,5:8,17
8,6:8,16
8,7:8,16
9,0:9,20
9,1:9,19
9,2:9,19
9,3:9,19
9,4:9,18
9,5:9,18
9,6:9,17
9,7:9,16
9,8:9,16
10,0:10,20
10,1:10,20
10,2:10,19
10,3:10,19
10,4:10,18
10,5:10,18
10,6:10,18
10,7:10,17
10,8:10,16
10,9:10,16
